priority,content_type,url,focus_keyphrase,seo_title,meta_description,yoast_action,recommended_robots,content_source,issues_notes,title_chars,meta_chars,current_title,current_meta_description,current_h1
P1,Partner Story,https://trafigurafoundation.org/partner-stories/peace-dividend-initiative-pdi/,climate-resilient peace investment,Peace Dividend Initiative | Trafigura Foundation,The Peace Dividend Initiative incubates climate-resilient enterprises in conflict-affected settings and launches the Peace Venture Fund (2024–2026).,Update Yoast fields,"index, follow",para3–4 PDI incubation + Peace Venture Fund,,48,148,Trafigura Foundation & Peace Dividend Initiative: Fostering Peace,Explore the Peace Dividend Initiative and its role in fostering economic resilience and peace in conflict-affected areas.,Peace Dividend Initiative (PDI)
P1,Partner Story,https://trafigurafoundation.org/partner-stories/plan-vivo/,nature-based finance communities,Plan Vivo nature-based finance | Trafigura Foundation,Plan Vivo helps smallholder farmers and vulnerable communities access nature-based finance that builds resilient livelihoods and ecosystems.,Update Yoast fields,"index, follow",para1 + para4 nature-based finance livelihoods,,53,140,Trafigura Foundation Partners with Plan Vivo for Climate Action,Explore how Plan Vivo supports vulnerable communities through nature-based finance and sustainable livelihood solutions.,Plan Vivo
P1,Partner Story,https://trafigurafoundation.org/partner-stories/planet-indonesia/,West Kalimantan community conservation,Planet Indonesia West Kalimantan | Trafigura Foundation,Planet Indonesia builds community-led governance in West Kalimantan so villages diversify sustainable livelihoods while conserving mangroves and forests.,Update Yoast fields,"index, follow",para1 West Kalimantan + para4–5 village governance,,55,153,Planet Indonesia. — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Planet Indonesia.
P1,Partner Story,https://trafigurafoundation.org/partner-stories/reach/,Vietnam youth vocational training,REACH Vietnam youth training | Trafigura Foundation,"REACH provides vocational training and job placement for disadvantaged Vietnamese youth aged 16–30, with 87% of graduates securing decent jobs.",Update Yoast fields,"index, follow",para2 REACH training + para4 87% decent jobs,,51,143,REACH — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",REACH
P1,Partner Story,https://trafigurafoundation.org/partner-stories/root-capital/,climate-smart agri-business finance,Root Capital agri-business finance | Trafigura Foundation,Root Capital provides catalytic finance and advisory services so rural agri-businesses adopt climate-smart practices and strengthen community resilience.,Update Yoast fields,"index, follow",para2 catalytic finance + para4 climate-smart practices,,57,153,Root Capital working with rural agricultural businesses — Trafigura Foundation,Explore how Root Capital empowers rural agricultural businesses to enhance community resilience and combat climate change.,Root Capital
P1,Partner Story,https://trafigurafoundation.org/partner-stories/slum-dwellers-international-sdi/,slum climate adaptation Africa,SDI informal settlement resilience | Trafigura Foundation,"Slum Dwellers International organises urban poor communities for community-led, data-driven slum upgrading and climate resilience across Africa.",Update Yoast fields,"index, follow",para1–2 informal settlements + para4 SDI model,,57,144,Strengthening climate resilience in Southern African cities,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Slum Dwellers International (SDI)
P1,Partner Story,https://trafigurafoundation.org/partner-stories/start-network-start-fund/,Start Fund rapid response,Start Fund emergency response | Trafigura Foundation,"The Start Fund releases emergency funding within 72 hours of a crisis—one of the world's fastest humanitarian response mechanisms, often for climate alerts.",Update Yoast fields,"index, follow",para1 + para5 72-hour climate-related alerts,,52,156,Responding rapidly and effectively to humanitarian crises,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Start Network – Start Fund
P1,Partner Story,https://trafigurafoundation.org/partner-stories/start-network-start-ready/,Start Ready anticipatory funding,Start Ready anticipatory funding | Trafigura Foundation,"Start Ready pre-positions humanitarian funding for floods, droughts, heatwaves and cyclones, releasing support when danger thresholds are reached.",Update Yoast fields,"index, follow",para2–3 Start Ready pre-positioned contingency funding,,55,146,"Backing communities facing floods, cyclones, droughts, heatwaves","Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Start Network – Start Ready
P1,Partner Story,https://trafigurafoundation.org/partner-stories/sumatoria/,climate resilience loans Argentina,Sumatoria climate resilience loans | Trafigura Foundation,Sumatoria's Climate Resilience Window offers affordable loans and technical assistance so small businesses in Argentina and Paraguay invest in adaptation.,Update Yoast fields,"index, follow",para4 Climate Resilience Window Argentina Paraguay,,57,154,Sumatoria — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",Sumatoria
P1,Partner Story,https://trafigurafoundation.org/partner-stories/the-halo-trust/,Angola mine clearance livelihoods,HALO Trust Angola mine clearance | Trafigura Foundation,"The HALO Trust clears landmines in Angola so communities can farm safely, restore livelihoods and protect biodiversity around the Okavango headwaters.",Update Yoast fields,"index, follow",para1–3 Angola landmines + Okavango livelihoods,,55,150,Clearing minefields in Angola,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",The HALO Trust
P1,Partner Story,https://trafigurafoundation.org/partner-stories/the-international-rescue-committee-irc/,IRC climate resilience,IRC climate resilience in crises | Trafigura Foundation,The International Rescue Committee helps communities facing conflict and climate shocks build sustainable livelihoods and prepare for climate crises.,Update Yoast fields,"index, follow",para5 IRC livelihoods + climate shock preparedness,,55,149,IRC — Partner — Trafigura Foundation,Explore how The International Rescue Committee is addressing climate challenges and supporting vulnerable communities worldwide.,The International Rescue Committee (IRC)
P1,Partner Story,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-eternal-mongolia/,Mongolia grasslands herders,Eternal Mongolia grasslands | Trafigura Foundation,"Eternal Mongolia protects Mongolia's temperate grasslands and supports herder households with sustainable, climate-resilient community-managed practices.",Update Yoast fields,"index, follow",para1–2 grasslands herders + li climate-resilient practices,,50,153,Eternal Mongolia — Partner Stories — Trafigura Foundation,Explore the efforts to secure Eternal Mongolia's grasslands and herders amidst climate change challenges and biodiversity loss.,The Nature Conservancy: Eternal Mongolia
P1,Partner Story,https://trafigurafoundation.org/partner-stories/the-nature-conservancy-natural-climate-solutions-accelerator/,Natural Climate Solutions Accelerator,Natural Climate Solutions Accelerator | Trafigura Foundation,The Nature Conservancy's Natural Climate Solutions Accelerator takes community carbon projects in Latin America from concept to certification and investment.,Update Yoast fields,"index, follow",para1 Latin America + para4 NCS Accelerator path,,60,157,The Nature Conservancy — Trafigura Foundation,"Established in 2007, the Trafigura Foundation invests in catalytic solutions that address climate adaptation, the socio-economic needs of vulnerable communities, and their connection with global supply chains.",The Nature Conservancy
P1,Partner Story,https://trafigurafoundation.org/partner-stories/wildlife-conservation-society-wcs/,climate-resilient coral reefs,WCS climate-resilient coral reefs | Trafigura Foundation,"Wildlife Conservation Society identifies and protects climate-resilient coral reefs in the Sulu-Sulawesi Sea across Indonesia, Malaysia and the Philippines.",Update Yoast fields,"index, follow",para4–5 Sulu-Sulawesi reefs Indonesia Malaysia Philippines,,56,156,Supporting Wildlife: Trafigura Foundation and WCS Partnership,Learn how the Wildlife Conservation Society is protecting vital coral reefs from climate change impacts in Southeast Asia.,Wildlife Conservation Society (WCS)
